20 1012
40 2512
60 4012
80 5512
100 7012
120 8512
140 10012
160 11512
180 13012
200 14512
220 16012
240 17512
260 19012
280 20512
300 22012
320 23512
340 25012
360 26512
380 28012
400 29512
200 14512
400 29512
600 44512
800 59512
1000 74512
1200 89512
1400 104512
1600 119512
1800 134512
2000 149512
2200 164512
2400 179512
2600 194512
2800 209512
3000 224512
3200 239512
3400 254512
3600 269512
3800 284512
4000 299512
2000 149512
4000 299512
6000 449512
8000 599512
10000 749512
12000 899512
14000 1049512
16000 1199512
18000 1349512
20000 1499512
