20 160
40 310
60 460
80 610
100 760
120 910
140 1060
160 1210
180 1360
200 1510
220 1660
240 1810
260 1960
280 2110
300 2260
320 2410
340 2560
360 2710
380 2860
400 3010
200 1510
400 3010
600 4510
800 6010
1000 7510
1200 9010
1400 10510
1600 12010
1800 13510
2000 15010
2200 16510
2400 18010
2600 19510
2800 21010
3000 22510
3200 24010
3400 25510
3600 27010
3800 28510
4000 30010
2000 15010
4000 30010
6000 45010
8000 60010
10000 75010
12000 90010
14000 105010
16000 120010
18000 135010
20000 150010
