20 155
40 305
60 455
80 605
100 755
120 905
140 1055
160 1205
180 1355
200 1505
220 1655
240 1805
260 1955
280 2105
300 2255
320 2405
340 2555
360 2705
380 2855
400 3005
200 1505
400 3005
600 4505
800 6005
1000 7505
1200 9005
1400 10505
1600 12005
1800 13505
2000 15005
2200 16505
2400 18005
2600 19505
2800 21005
3000 22505
3200 24005
3400 25505
3600 27005
3800 28505
4000 30005
2000 15005
4000 30005
6000 45005
8000 60005
10000 75005
12000 90005
14000 105005
16000 120005
18000 135005
20000 150005
