10 13539
20 27069
30 40599
40 54129
50 67659
60 81189
70 94719
80 108249
90 121779
100 135309
110 148839
120 162369
130 175899
140 189429
150 202959
160 216489
170 230019
180 243549
190 257079
200 270609
100 135309
200 270609
300 405909
400 541209
500 676509
600 811809
700 947109
800 1082409
900 1217709
1000 1353009
1100 1488309
1200 1623609
1300 1758909
1400 1894209
1500 2029509
1600 2164809
1700 2300109
1800 2435409
1900 2570709
2000 2706009
1000 1353009
2000 2706009
3000 4059009
4000 5412009
5000 6765009
6000 8118009
7000 9471009
8000 10824009
9000 12177009
10000 13530009
