10 335
20 1103
30 1989
40 3705
50 5607
60 8851
70 12055
80 14026
90 19746
100 23083
110 26155
120 30891
130 36606
140 47486
150 52601
160 56720
170 67151
180 73322
190 81694
200 95256
100 23193
200 85356
300 181333
400 365028
500 559917
600 765940
700 1083650
800 1365986
900 1813026
1000 2193311
1100 2678327
1200 3191538
1300 3840242
1400 4292703
1500 4902280
1600 5538120
1700 6263110
1800 7185394
1900 8006734
2000 8959836
1000 2184331
2000 8472691
3000 19452707
4000 35692770
5000 55785104
6000 80084486
7000 107757836
8000 141127222
9000 178964515
10000 222368679
