10 824
20 1773
30 2803
40 3806
50 4890
60 5974
70 7058
80 8115
90 9226
100 10364
110 11448
120 12586
130 13697
140 14835
150 15973
160 17084
170 18249
180 19360
190 20525
200 21690
100 10364
200 21690
300 33205
400 44990
500 56802
600 68668
700 80642
800 92616
900 104644
1000 116699
1100 128862
1200 140917
1300 153107
1400 165243
1500 177433
1600 189623
1700 201867
1800 214138
1900 226382
2000 238680
1000 116699
2000 238680
3000 361795
4000 485720
5000 610131
6000 734893
7000 859844
8000 985119
9000 1110583
10000 1236182
