10 1163
20 2453
30 3743
40 5033
50 6323
60 7613
70 8903
80 10193
90 11483
100 12773
110 14063
120 15353
130 16643
140 17933
150 19223
160 20513
170 21803
180 23093
190 24383
200 25673
100 12773
200 25673
300 38573
400 51473
500 64373
600 77273
700 90173
800 103073
900 115973
1000 128873
1100 141773
1200 154673
1300 167573
1400 180473
1500 193373
1600 206273
1700 219173
1800 232073
1900 244973
2000 257873
1000 128873
2000 257873
3000 386873
4000 515873
5000 644873
6000 773873
7000 902873
8000 1031873
9000 1160873
10000 1289873
