10 1104
20 4404
30 9904
40 17604
50 27504
60 39604
70 53904
80 70404
90 89104
100 110004
110 133104
120 158404
130 185904
140 215604
150 247504
160 281604
170 317904
180 356404
190 397104
200 440004
100 110004
200 440004
300 990004
400 1760004
500 2750004
600 3960004
700 5390004
800 7040004
900 8910004
1000 11000004
1100 13310004
1200 15840004
1300 18590004
1400 21560004
1500 24750004
1600 28160004
1700 31790004
1800 35640004
1900 39710004
2000 44000004
1000 11000004
2000 44000004
3000 99000004
4000 176000004
5000 275000004
6000 396000004
7000 539000004
8000 704000004
9000 891000004
10000 1100000004
