10 811
20 1551
30 2291
40 3031
50 3771
60 4511
70 5251
80 5991
90 6731
100 7471
110 8211
120 8951
130 9691
140 10431
150 11171
160 11911
170 12651
180 13391
190 14131
200 14871
100 7471
200 14871
300 22271
400 29671
500 37071
600 44471
700 51871
800 59271
900 66671
1000 74071
1100 81471
1200 88871
1300 96271
1400 103671
1500 111071
1600 118471
1700 125871
1800 133271
1900 140671
2000 148071
1000 74071
2000 148071
3000 222071
4000 296071
5000 370071
6000 444071
7000 518071
8000 592071
9000 666071
10000 740071
11000 814071
12000 888071
13000 962071
14000 1036071
15000 1110071
16000 1184071
17000 1258071
18000 1332071
19000 1406071
20000 1480071
