10 428
20 788
30 1211
40 1625
50 1989
60 2366
70 2715
80 3050
90 3583
100 3937
110 4287
120 4619
130 4886
140 5510
150 5772
160 6443
170 6664
180 6924
190 7511
200 7803
100 3963
200 7869
300 11903
400 15419
500 19310
600 23624
700 27315
800 31342
900 35170
1000 39442
1100 42971
1200 46839
1300 50894
1400 54309
1500 58557
1600 62572
1700 66861
1800 70267
1900 74203
2000 77629
1000 38779
2000 78257
3000 117364
4000 155941
5000 195299
6000 233642
7000 273285
8000 311189
9000 350921
10000 389887
11000 429401
12000 467705
13000 508026
14000 546785
15000 584326
16000 623223
17000 663795
18000 702240
19000 742359
20000 781027
